,city,county,fid,geoid,ogc_fid,owner,parcelnumb,state,geo_type,polygon
33,washington,wilkes,5363,13317.0,5363,plum creek timberlands lp,123    009,ga,MultiPolygon,"[[[[-82.58133, 33.69414], [-82.58322, 33.694], [-82.58589, 33.6944], [-82.58664, 33.69449], [-82.58796, 33.69457], [-82.59137, 33.69496], [-82.5918, 33.69526], [-82.59232, 33.69543], [-82.59591, 33.69696], [-82.59576, 33.69716], [-82.59508, 33.69808], [-82.59479, 33.69847], [-82.59418, 33.69929], [-82.59354, 33.70014], [-82.5934, 33.70033], [-82.59326, 33.70053], [-82.59312, 33.70073], [-82.59299, 33.70093], [-82.59294, 33.70102], [-82.5892, 33.70269], [-82.58852, 33.70213], [-82.58834, 33.70199], [-82.58815, 33.70186], [-82.58797, 33.70172], [-82.58712, 33.70122], [-82.58555, 33.70033], [-82.58544, 33.70027], [-82.58534, 33.70021], [-82.58524, 33.70014], [-82.58515, 33.70007], [-82.58506, 33.7], [-82.58498, 33.69992], [-82.5849, 33.69983], [-82.58483, 33.69975], [-82.58467, 33.69955], [-82.58387, 33.69849], [-82.58376, 33.69836], [-82.58365, 33.69824], [-82.58353, 33.69811], [-82.58344, 33.69802], [-82.58334, 33.69792], [-82.58328, 33.69786], [-82.58321, 33.69781], [-82.58313, 33.69776], [-82.58305, 33.69771], [-82.58297, 33.69767], [-82.58288, 33.69764], [-82.58279, 33.69761], [-82.5827, 33.69759], [-82.58261, 33.69757], [-82.5821, 33.69756], [-82.58133, 33.69414]]], [[[-82.58251, 33.6993], [-82.58213, 33.69769], [-82.58259, 33.69771], [-82.58268, 33.69773], [-82.58277, 33.69775], [-82.58286, 33.69778], [-82.58294, 33.69781], [-82.58302, 33.69786], [-82.58309, 33.6979], [-82.58316, 33.69796], [-82.58322, 33.69801], [-82.58331, 33.69811], [-82.58341, 33.6982], [-82.58352, 33.69832], [-82.58363, 33.69844], [-82.58373, 33.69857], [-82.58453, 33.69962], [-82.58469, 33.69982], [-82.58477, 33.69992], [-82.58485, 33.7], [-82.58494, 33.70009], [-82.58503, 33.70017], [-82.58513, 33.70025], [-82.58524, 33.70032], [-82.58535, 33.70038], [-82.58546, 33.70045], [-82.58703, 33.70133], [-82.58787, 33.70183], [-82.58814, 33.70203], [-82.5884, 33.70223], [-82.58905, 33.70276], [-82.58582, 33.7042], [-82.58364, 33.70414], [-82.58251, 33.6993]]], [[[-82.60108, 33.70547], [-82.60045, 33.70553], [-82.59965, 33.70563], [-82.59885, 33.70574], [-82.59917, 33.70147], [-82.59509, 33.69847], [-82.5953, 33.69819], [-82.59599, 33.69728], [-82.59615, 33.69706], [-82.59784, 33.69789], [-82.60003, 33.69616], [-82.60788, 33.70277], [-82.60425, 33.70574], [-82.60421, 33.70573], [-82.60379, 33.70559], [-82.60368, 33.70556], [-82.60356, 33.70553], [-82.60345, 33.7055], [-82.60333, 33.70549], [-82.6029, 33.70546], [-82.60194, 33.70543], [-82.60173, 33.70543], [-82.60151, 33.70543], [-82.60129, 33.70545], [-82.60108, 33.70547]]]]"
34,washington,wilkes,5376,13317.0,5376,plum creek timberlands lp,123    009A,ga,Polygon,"[[[-82.61247, 33.71572], [-82.61246, 33.71574], [-82.60911, 33.71295], [-82.60675, 33.71198], [-82.60292, 33.71188], [-82.60242, 33.71093], [-82.59604, 33.71151], [-82.59435, 33.70846], [-82.59445, 33.70798], [-82.5987, 33.7078], [-82.59884, 33.7059], [-82.59966, 33.7058], [-82.60048, 33.70569], [-82.6011, 33.70563], [-82.60131, 33.70561], [-82.60152, 33.7056], [-82.60173, 33.70559], [-82.60194, 33.70559], [-82.60289, 33.70563], [-82.60331, 33.70565], [-82.60341, 33.70567], [-82.60352, 33.70569], [-82.60362, 33.70571], [-82.60372, 33.70574], [-82.60414, 33.70588], [-82.60434, 33.70595], [-82.60455, 33.70603], [-82.60475, 33.70611], [-82.60531, 33.70633], [-82.60565, 33.70648], [-82.60592, 33.70662], [-82.60679, 33.70708], [-82.60767, 33.70752], [-82.60811, 33.70773], [-82.60856, 33.70793], [-82.60901, 33.70813], [-82.61101, 33.70894], [-82.61157, 33.70914], [-82.61165, 33.70917], [-82.61173, 33.7092], [-82.61181, 33.70922], [-82.6119, 33.70923], [-82.61199, 33.70923], [-82.61207, 33.70923], [-82.61409, 33.71635], [-82.61407, 33.71636], [-82.61349, 33.71663], [-82.61247, 33.71572]]]"
68,washington,wilkes,5610,13317.0,5610,plum creek timberlands lp,124    003,ga,MultiPolygon,"[[[[-82.57397, 33.67185], [-82.5782, 33.67009], [-82.58008, 33.67414], [-82.57455, 33.67705], [-82.57337, 33.67816], [-82.57333, 33.67806], [-82.57317, 33.67747], [-82.57307, 33.67713], [-82.5725, 33.67528], [-82.57247, 33.6752], [-82.57245, 33.67511], [-82.57243, 33.67502], [-82.57242, 33.67493], [-82.57241, 33.67484], [-82.57241, 33.67474], [-82.57242, 33.67465], [-82.57246, 33.67414], [-82.57254, 33.67286], [-82.57397, 33.67185]]], [[[-82.57177, 33.67348], [-82.57236, 33.673], [-82.57229, 33.67413], [-82.57225, 33.67464], [-82.57225, 33.67474], [-82.57225, 33.67484], [-82.57225, 33.67494], [-82.57226, 33.67503], [-82.57228, 33.67513], [-82.57231, 33.67523], [-82.57235, 33.67532], [-82.57291, 33.67716], [-82.57301, 33.6775], [-82.57317, 33.67809], [-82.5732, 33.67819], [-82.57324, 33.67828], [-82.57034, 33.68103], [-82.57019, 33.68087], [-82.5691, 33.6798], [-82.56777, 33.67777], [-82.56712, 33.6772], [-82.57177, 33.67348]]]]"
0,woodland,talbot,73,13263.0,73,plum creek,005 10803,ga,Polygon,"[[[-84.51243, 32.86847], [-84.5124, 32.85984], [-84.51646, 32.85983], [-84.52566, 32.8598], [-84.52606, 32.85979], [-84.52607, 32.86554], [-84.52608, 32.86826], [-84.52608, 32.86832], [-84.52498, 32.86886], [-84.52491, 32.86886], [-84.5247, 32.86887], [-84.52252, 32.86887], [-84.52076, 32.86888], [-84.51634, 32.86889], [-84.51243, 32.8689], [-84.51243, 32.86847]]]"
5,woodland,talbot,155,13263.0,155,plum creek,005 11009,ga,Polygon,"[[[-84.51645, 32.85971], [-84.51659, 32.85944], [-84.51686, 32.85921], [-84.51704, 32.85894], [-84.51708, 32.85861], [-84.51708, 32.85804], [-84.5171, 32.85763], [-84.51735, 32.85727], [-84.51773, 32.85681], [-84.51786, 32.85646], [-84.51792, 32.85618], [-84.51782, 32.85569], [-84.51792, 32.85539], [-84.51819, 32.85485], [-84.51834, 32.85467], [-84.51912, 32.8544], [-84.51943, 32.85421], [-84.51971, 32.8538], [-84.52001, 32.85349], [-84.52011, 32.85333], [-84.52009, 32.85298], [-84.52007, 32.85235], [-84.52003, 32.85199], [-84.52008, 32.85163], [-84.51998, 32.85128], [-84.51968, 32.85095], [-84.51941, 32.85065], [-84.51923, 32.8504], [-84.51874, 32.84999], [-84.51842, 32.84973], [-84.51809, 32.84926], [-84.51798, 32.84885], [-84.51764, 32.84816], [-84.51741, 32.84789], [-84.51716, 32.84773], [-84.51716, 32.84773], [-84.51739, 32.84773], [-84.52426, 32.84771], [-84.52603, 32.84771], [-84.52604, 32.85199], [-84.52605, 32.85658], [-84.52606, 32.85979], [-84.52566, 32.8598], [-84.51646, 32.85983], [-84.51645, 32.85971]]]"
14,woodland,talbot,2213,13263.0,2213,plum creek,007 11603,ga,Polygon,"[[[-84.49009, 32.85142], [-84.48846, 32.85138], [-84.48842, 32.85075], [-84.48838, 32.84986], [-84.48314, 32.84985], [-84.48308, 32.84685], [-84.49067, 32.84688], [-84.49072, 32.8459], [-84.49073, 32.84546], [-84.49085, 32.84483], [-84.49109, 32.84374], [-84.49126, 32.8429], [-84.49126, 32.84276], [-84.49126, 32.84255], [-84.49122, 32.8423], [-84.49119, 32.84198], [-84.49123, 32.84167], [-84.49134, 32.84137], [-84.4916, 32.84091], [-84.49165, 32.84063], [-84.4917, 32.84031], [-84.49174, 32.84022], [-84.49175, 32.84019], [-84.4919, 32.84019], [-84.49316, 32.84019], [-84.49316, 32.84165], [-84.49506, 32.84164], [-84.49604, 32.84163], [-84.49623, 32.84187], [-84.49643, 32.84216], [-84.49673, 32.84262], [-84.49705, 32.84308], [-84.4974, 32.84351], [-84.49778, 32.84373], [-84.49812, 32.8439], [-84.49842, 32.844], [-84.49858, 32.84405], [-84.4988, 32.84411], [-84.499, 32.84416], [-84.49915, 32.84423], [-84.49933, 32.84428], [-84.49952, 32.84434], [-84.49972, 32.84432], [-84.49991, 32.84424], [-84.50001, 32.84406], [-84.50013, 32.84376], [-84.50019, 32.84351], [-84.50035, 32.84331], [-84.50049, 32.84316], [-84.50056, 32.84305], [-84.50077, 32.8428], [-84.501, 32.84261], [-84.50115, 32.84247], [-84.50126, 32.84243], [-84.50153, 32.84249], [-84.50162, 32.8425], [-84.50165, 32.84251], [-84.50165, 32.85167], [-84.49009, 32.85142]]]"
17,woodland,talbot,2353,13263.0,2353,plum creek,007 11802,ga,Polygon,"[[[-84.50714, 32.85824], [-84.50713, 32.85179], [-84.50713, 32.85144], [-84.50713, 32.85072], [-84.5071, 32.8436], [-84.5071, 32.84343], [-84.51692, 32.84341], [-84.51714, 32.84341], [-84.51714, 32.84357], [-84.51716, 32.84773], [-84.51716, 32.84773], [-84.51741, 32.84789], [-84.51764, 32.84816], [-84.51798, 32.84885], [-84.51809, 32.84926], [-84.51842, 32.84973], [-84.51874, 32.84999], [-84.51923, 32.8504], [-84.51941, 32.85065], [-84.51968, 32.85095], [-84.51998, 32.85128], [-84.52008, 32.85163], [-84.52003, 32.85199], [-84.52007, 32.85235], [-84.52009, 32.85298], [-84.52011, 32.85333], [-84.52001, 32.85349], [-84.51971, 32.8538], [-84.51943, 32.85421], [-84.51912, 32.8544], [-84.51834, 32.85467], [-84.51819, 32.85485], [-84.51792, 32.85539], [-84.51782, 32.85569], [-84.51792, 32.85618], [-84.51786, 32.85646], [-84.51773, 32.85681], [-84.51735, 32.85727], [-84.5171, 32.85763], [-84.51708, 32.85804], [-84.51708, 32.85861], [-84.51704, 32.85894], [-84.51686, 32.85921], [-84.51659, 32.85944], [-84.51645, 32.85971], [-84.51646, 32.85983], [-84.5124, 32.85984], [-84.51243, 32.86847], [-84.51243, 32.8689], [-84.50712, 32.86892], [-84.50714, 32.85824]]]"
3,woodland,talbot,149,13263.0,149,timberlands ii l l c,005 11007,ga,Polygon,"[[[-84.53594, 32.85196], [-84.53593, 32.85301], [-84.53593, 32.85616], [-84.53743, 32.85616], [-84.53739, 32.8599], [-84.53593, 32.85989], [-84.53592, 32.86346], [-84.53175, 32.86552], [-84.5297, 32.86553], [-84.52608, 32.86554], [-84.52607, 32.86554], [-84.52606, 32.85979], [-84.52605, 32.85658], [-84.53298, 32.85656], [-84.5305, 32.85198], [-84.53291, 32.85197], [-84.53594, 32.85196]], [[-84.53476, 32.85764], [-84.53492, 32.85775], [-84.53481, 32.85788], [-84.53464, 32.85778], [-84.53476, 32.85764]]]"
6,woodland,talbot,197,13263.0,197,timberlands ii l l c,005 11015,ga,Polygon,"[[[-84.52605, 32.85658], [-84.52604, 32.85199], [-84.5305, 32.85198], [-84.53298, 32.85656], [-84.52605, 32.85658]]]"
38,vesta-enterprise,oglethorpe,6933,13221.0,6933,plum creek timberlands lp,125    018,ga,Polygon,"[[[-83.02868, 34.03111], [-83.02853, 34.0311], [-83.02847, 34.03109], [-83.02841, 34.03108], [-83.02835, 34.03107], [-83.02823, 34.03071], [-83.02691, 34.02692], [-83.02525, 34.02204], [-83.02532, 34.02199], [-83.02536, 34.02192], [-83.0254, 34.02187], [-83.02542, 34.02181], [-83.02545, 34.02176], [-83.02547, 34.02171], [-83.02549, 34.02165], [-83.02552, 34.0216], [-83.02554, 34.02155], [-83.02556, 34.02149], [-83.02557, 34.02144], [-83.02559, 34.02139], [-83.02561, 34.02134], [-83.02563, 34.0213], [-83.02564, 34.02125], [-83.02567, 34.02117], [-83.02569, 34.0211], [-83.02572, 34.02102], [-83.02575, 34.02093], [-83.02576, 34.02088], [-83.02578, 34.02083], [-83.02579, 34.02078], [-83.02581, 34.02073], [-83.02583, 34.02068], [-83.02584, 34.02063], [-83.02586, 34.02058], [-83.02588, 34.02053], [-83.0259, 34.02048], [-83.02593, 34.02043], [-83.02595, 34.02037], [-83.02598, 34.02032], [-83.02602, 34.02024], [-83.02604, 34.0202], [-83.02607, 34.02013], [-83.0261, 34.02007], [-83.02613, 34.02002], [-83.02616, 34.01997], [-83.02621, 34.01991], [-83.02625, 34.01987], [-83.02631, 34.01983], [-83.02637, 34.01978], [-83.02644, 34.01973], [-83.02652, 34.01968], [-83.02659, 34.01962], [-83.02667, 34.01957], [-83.02674, 34.01951], [-83.02681, 34.01946], [-83.02686, 34.01941], [-83.02692, 34.01937], [-83.02697, 34.01932], [-83.02704, 34.01927], [-83.02708, 34.01923], [-83.02713, 34.01919], [-83.02717, 34.01916], [-83.02721, 34.01912], [-83.02725, 34.01907], [-83.02729, 34.01903], [-83.02733, 34.01897], [-83.02737, 34.01891], [-83.02741, 34.01885], [-83.02746, 34.01878], [-83.0275, 34.01872], [-83.02754, 34.01865], [-83.02757, 34.01858], [-83.02761, 34.01852], [-83.02765, 34.01845], [-83.02769, 34.01838], [-83.02772, 34.01831], [-83.02776, 34.01825], [-83.0278, 34.01818], [-83.02784, 34.01812], [-83.02787, 34.01807], [-83.02791, 34.01802], [-83.02795, 34.01797], [-83.02799, 34.01792], [-83.02803, 34.01787], [-83.02807, 34.01783], [-83.02812, 34.01778], [-83.02818, 34.01774], [-83.02824, 34.01769], [-83.0283, 34.01765], [-83.02837, 34.01761], [-83.02843, 34.01757], [-83.02849, 34.01753], [-83.02855, 34.01749], [-83.0286, 34.01746], [-83.02869, 34.01741], [-83.02874, 34.01739], [-83.0288, 34.01736], [-83.02885, 34.01733], [-83.02891, 34.01731], [-83.02903, 34.01725], [-83.02911, 34.01721], [-83.02917, 34.01718], [-83.02922, 34.01715], [-83.02928, 34.01712], [-83.02934, 34.01708], [-83.0294, 34.01703], [-83.02946, 34.01699], [-83.02952, 34.01694], [-83.02958, 34.01689], [-83.02964, 34.01683], [-83.02971, 34.01677], [-83.02979, 34.01671], [-83.02983, 34.01668], [-83.02987, 34.01665], [-83.02991, 34.01662], [-83.02995, 34.01658], [-83.02999, 34.01655], [-83.03004, 34.01651], [-83.03008, 34.01648], [-83.03013, 34.01644], [-83.03017, 34.01641], [-83.03021, 34.01638], [-83.03026, 34.01635], [-83.0303, 34.01631], [-83.03035, 34.01628], [-83.03039, 34.01625], [-83.03044, 34.01622], [-83.03048, 34.01619], [-83.03053, 34.01617], [-83.03057, 34.01614], [-83.03062, 34.01611], [-83.03066, 34.01609], [-83.03075, 34.01604], [-83.03082, 34.016], [-83.03089, 34.01596], [-83.03097, 34.01592], [-83.03102, 34.01589], [-83.03106, 34.01586], [-83.03111, 34.01583], [-83.03115, 34.0158], [-83.03119, 34.01576], [-83.03124, 34.01572], [-83.03129, 34.01567], [-83.03134, 34.01561], [-83.03138, 34.01557], [-83.03141, 34.01553], [-83.03144, 34.01548], [-83.03148, 34.01543], [-83.03153, 34.01537], [-83.03158, 34.0153], [-83.03165, 34.01522], [-83.03173, 34.01512], [-83.03182, 34.015], [-83.03194, 34.01486], [-83.03208, 34.0147], [-83.03271, 34.02034], [-83.04053, 34.02419], [-83.04045, 34.02427], [-83.04018, 34.02453], [-83.03996, 34.02474], [-83.03978, 34.02493], [-83.03962, 34.02509], [-83.03949, 34.02522], [-83.03938, 34.02534], [-83.03928, 34.02545], [-83.03919, 34.02554], [-83.0391, 34.02562], [-83.03903, 34.0257], [-83.03896, 34.02577], [-83.0389, 34.02583], [-83.03884, 34.02588], [-83.03879, 34.02593], [-83.03874, 34.02598], [-83.0387, 34.02602], [-83.03866, 34.02606], [-83.03862, 34.02609], [-83.03855, 34.02615], [-83.03849, 34.0262], [-83.03843, 34.02625], [-83.03837, 34.02629], [-83.03831, 34.02632], [-83.03824, 34.02635], [-83.03817, 34.02639], [-83.03809, 34.02642], [-83.03801, 34.02644], [-83.03793, 34.02647], [-83.03784, 34.02649], [-83.03775, 34.02651], [-83.03765, 34.02652], [-83.0376, 34.02653], [-83.03754, 34.02654], [-83.03748, 34.02654], [-83.03741, 34.02655], [-83.03735, 34.02655], [-83.03728, 34.02655], [-83.03721, 34.02655], [-83.03714, 34.02655], [-83.03707, 34.02655], [-83.037, 34.02654], [-83.03693, 34.02654], [-83.03687, 34.02653], [-83.0368, 34.02652], [-83.03674, 34.02651], [-83.03667, 34.0265], [-83.0366, 34.02648], [-83.03653, 34.02646], [-83.03645, 34.02643], [-83.03637, 34.0264], [-83.03628, 34.02637], [-83.03619, 34.02634], [-83.0361, 34.0263], [-83.03601, 34.02626], [-83.03592, 34.02622], [-83.03583, 34.02618], [-83.03574, 34.02614], [-83.03566, 34.02611], [-83.03558, 34.02608], [-83.03551, 34.02604], [-83.03544, 34.02601], [-83.03538, 34.02599], [-83.03532, 34.02596], [-83.03526, 34.02594], [-83.0352, 34.02591], [-83.03515, 34.02589], [-83.0351, 34.02587], [-83.03505, 34.02585], [-83.03495, 34.02582], [-83.03486, 34.02579], [-83.03475, 34.02577], [-83.0347, 34.02576], [-83.03464, 34.02575], [-83.03458, 34.02575], [-83.03452, 34.02574], [-83.03445, 34.02573], [-83.03439, 34.02573], [-83.03432, 34.02573], [-83.03424, 34.02573], [-83.03417, 34.02572], [-83.03409, 34.02572], [-83.03401, 34.02573], [-83.03393, 34.02573], [-83.03384, 34.02573], [-83.03375, 34.02573], [-83.03367, 34.02574], [-83.03358, 34.02574], [-83.03349, 34.02575], [-83.03339, 34.02575], [-83.0333, 34.02576], [-83.03322, 34.02576], [-83.03313, 34.02577], [-83.03304, 34.02578], [-83.03296, 34.02579], [-83.03288, 34.0258], [-83.03281, 34.02581], [-83.03273, 34.02582], [-83.03266, 34.02583], [-83.0326, 34.02584], [-83.03253, 34.02586], [-83.03247, 34.02588], [-83.03241, 34.0259], [-83.03235, 34.02592], [-83.03229, 34.02595], [-83.03224, 34.02597], [-83.03218, 34.026], [-83.03213, 34.02604], [-83.03208, 34.02607], [-83.03203, 34.0261], [-83.03198, 34.02614], [-83.03193, 34.02617], [-83.03188, 34.02621], [-83.03183, 34.02624], [-83.03178, 34.02628], [-83.03174, 34.02631], [-83.0317, 34.02635], [-83.03165, 34.02638], [-83.03161, 34.02641], [-83.03157, 34.02645], [-83.0315, 34.0265], [-83.03143, 34.02656], [-83.03137, 34.02661], [-83.03132, 34.02666], [-83.03127, 34.0267], [-83.03122, 34.02675], [-83.03117, 34.02681], [-83.03112, 34.02689], [-83.03108, 34.02695], [-83.03104, 34.02703], [-83.03102, 34.02707], [-83.031, 34.02711], [-83.03098, 34.02716], [-83.03096, 34.0272], [-83.03095, 34.02725], [-83.03093, 34.0273], [-83.03092, 34.02735], [-83.0309, 34.02739], [-83.03089, 34.02745], [-83.03087, 34.0275], [-83.03085, 34.02755], [-83.03083, 34.0276], [-83.03081, 34.02765], [-83.03079, 34.02771], [-83.03076, 34.02777], [-83.03074, 34.02782], [-83.03071, 34.02788], [-83.03068, 34.02794], [-83.03065, 34.02801], [-83.03061, 34.02807], [-83.03058, 34.02814], [-83.03054, 34.02821], [-83.03051, 34.02828], [-83.03047, 34.02834], [-83.03044, 34.02841], [-83.0304, 34.02848], [-83.03037, 34.02854], [-83.03034, 34.0286], [-83.03032, 34.02865], [-83.03029, 34.02871], [-83.03027, 34.02876], [-83.03025, 34.02881], [-83.03023, 34.02886], [-83.03022, 34.02891], [-83.0302, 34.02895], [-83.03019, 34.029], [-83.03018, 34.02905], [-83.03017, 34.02909], [-83.03016, 34.02914], [-83.03015, 34.02919], [-83.03015, 34.02924], [-83.03014, 34.02929], [-83.03014, 34.02934], [-83.03014, 34.0294], [-83.03013, 34.02945], [-83.03013, 34.02951], [-83.03013, 34.02957], [-83.03013, 34.02963], [-83.03012, 34.02969], [-83.03012, 34.02974], [-83.03012, 34.02979], [-83.03012, 34.02984], [-83.03011, 34.02989], [-83.0301, 34.02997], [-83.03009, 34.03004], [-83.03007, 34.03012], [-83.03004, 34.0302], [-83.03001, 34.03028], [-83.02999, 34.03032], [-83.02997, 34.03037], [-83.02995, 34.03042], [-83.02992, 34.03046], [-83.02989, 34.03051], [-83.02985, 34.03056], [-83.02982, 34.03061], [-83.02978, 34.03066], [-83.02974, 34.03071], [-83.0297, 34.03075], [-83.02966, 34.03079], [-83.02963, 34.03083], [-83.02959, 34.03087], [-83.02952, 34.03092], [-83.02945, 34.03096], [-83.02938, 34.03099], [-83.02931, 34.03102], [-83.02924, 34.03104], [-83.02917, 34.03107], [-83.0291, 34.03108], [-83.02902, 34.0311], [-83.02894, 34.0311], [-83.02886, 34.03111], [-83.02877, 34.03111], [-83.02868, 34.03111]]]"
